Rank,Release Group,Worldwide,Domestic,%,Foreign,%
177,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
178,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
179,Incitement,"$140,306","$140,306",100%,-,-
180,Most Wanted,"$138,000","$138,000",100%,-,-
181,Beneath Us,"$137,260","$137,260",100%,-,-
182,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
183,Only,"$125,603",-,-,"$125,603",100%
184,Lucky Grandma,"$123,408","$102,000",82.7%,"$21,408",17.3%
185,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
186,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
187,Heaven,"$110,345","$110,345",100%,-,-
188,Miss Juneteenth,"$105,542","$92,349",87.5%,"$13,193",12.5%
189,The Roads Not Taken,"$105,439","$3,518",3.3%,"$101,921",96.7%
190,First Cow,"$101,068","$101,068",100%,-,-
191,First Lady,"$93,298","$93,298",100%,-,-
192,Max Winslow and the House of Secrets,"$89,532","$31,250",34.9%,"$58,282",65.1%
193,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
194,Nomad: In the Footsteps of Bruce Chatwin,"$78,100",-,-,"$78,100",100%
195,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
196,How to Build a Girl,"$70,632","$70,632",100%,-,-
197,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
198,All My Life,"$65,852",-,-,"$65,852",100%
199,Pray: The Story of Patrick Peyton,"$64,058","$64,058",100%,-,-
200,My Brothers' Crossing,"$59,395","$59,395",100%,-,-
201,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
202,A Simple Wedding,"$54,415","$54,415",100%,-,-
203,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
204,House of Cardin,"$50,659",-,-,"$50,659",100%
205,Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
206,The Way I See It,"$49,030","$49,030",100%,-,-
207,VHYes,"$47,037","$47,037",100%,-,-
208,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
209,Spree,"$43,458","$28,771",66.2%,"$14,687",33.8%
210,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
211,Three Christs,"$36,723","$36,723",100%,-,-
212,Tread,"$36,527","$36,527",100%,-,-
213,Waiting for Anya,"$36,404",-,-,"$36,404",100%
